order_id,region,product,sales_rep,channel,quantity_sold,unit_price,order_date,total_sale,discount_percent,discount_value,net_sale,profit
1001,East,Monitor,Ethan,Retail Store,7,823.42,2023-03-25,5763.94,20,1152.7879999999998,4611.152,641.3725098629496
1002,West,Laptop,Charlie,Retail Store,9,823.42,2023-03-24,7410.78,20,1482.156,5928.624,824.6217983952209
1003,North,Laptop,Ethan,Retail Store,7,823.42,2023-02-04,5763.94,0,0.0,5763.94,801.715637328687
1004,East,Laptop,Bob,Retail Store,3,823.42,2023-03-10,2470.2599999999998,10,247.02599999999998,2223.234,309.23317439820784
1005,East,Smartwatch,Alice,Retail Store,1,823.42,2023-05-09,823.42,0,0.0,823.42,114.53080533266957
1006,West,Tablet,Charlie,Retail Store,8,823.42,2023-05-20,6587.36,10,658.7359999999999,5928.624,824.6217983952209
1007,North,Smartwatch,Bob,Online,3,823.42,2023-01-27,2470.2599999999998,15,370.53899999999993,2099.721,292.0535535983074
1008,North,Tablet,Bob,Retail Store,8,823.42,2023-02-25,6587.36,20,1317.4719999999998,5269.888,732.9971541290853
1009,East,Smartwatch,Charlie,Retail Store,8,823.42,2023-01-23,6587.36,5,329.36799999999994,6257.992,870.4341205282888
1010,South,Smartwatch,Ethan,Retail Store,5,823.42,2023-06-02,4117.099999999999,10,411.7099999999999,3705.3899999999994,515.388623997013
1011,East,Monitor,Fiona,Online,1,823.42,2023-01-21,823.42,0,0.0,823.42,114.53080533266957
1012,East,Headphones,Bob,Online,7,823.42,2023-03-02,5763.94,20,1152.7879999999998,4611.152,641.3725098629496
1013,East,Smartwatch,Diana,Retail Store,5,823.42,2023-03-04,4117.099999999999,0,0.0,4117.099999999999,572.6540266633478
1014,East,Monitor,Bob,Retail Store,8,823.42,2023-05-02,6587.36,10,658.7359999999999,5928.624,824.6217983952209
1015,West,Smartphone,Fiona,Retail Store,9,823.42,2023-02-21,7410.78,10,741.078,6669.701999999999,927.6995231946235
1016,North,Headphones,Ethan,Online,7,823.42,2023-03-29,5763.94,10,576.3939999999999,5187.545999999999,721.5440735958182
1017,West,Smartwatch,Ethan,Online,7,823.42,2023-06-02,5763.94,0,0.0,5763.94,801.715637328687
1018,West,Laptop,Diana,Retail Store,1,823.42,2023-02-24,823.42,20,164.68399999999997,658.736,91.62464426613566
1019,West,Smartphone,Bob,Online,4,823.42,2023-02-15,3293.68,0,0.0,3293.68,458.1232213306783
1020,East,Smartphone,Ethan,Retail Store,2,823.42,2023-02-01,1646.84,10,164.68399999999997,1482.156,206.15544959880523
1021,South,Monitor,Fiona,Online,2,823.42,2023-02-24,1646.84,0,0.0,1646.84,229.06161066533915
1022,North,Smartphone,Charlie,Online,2,823.42,2023-04-06,1646.84,0,0.0,1646.84,229.06161066533915
1023,South,Headphones,Alice,Retail Store,4,823.42,2023-05-13,3293.68,5,164.68399999999997,3128.996,435.2170602641444
1024,West,Smartwatch,Alice,Retail Store,1,823.42,2023-02-05,823.42,5,41.17099999999999,782.249,108.8042650660361
1025,West,Smartwatch,Alice,Retail Store,4,823.42,2023-04-20,3293.68,0,0.0,3293.68,458.1232213306783
1026,South,Laptop,Bob,Retail Store,2,823.42,2023-06-26,1646.84,0,0.0,1646.84,229.06161066533915
1027,South,Monitor,Diana,Online,5,823.42,2023-04-16,4117.099999999999,5,205.85499999999996,3911.2449999999994,544.0213253301804
1028,South,Laptop,Ethan,Online,3,823.42,2023-02-27,2470.2599999999998,10,247.02599999999998,2223.234,309.23317439820784
1029,West,Smartphone,Charlie,Online,8,823.42,2023-02-08,6587.36,15,988.1039999999999,5599.255999999999,778.809476262153
1030,West,Laptop,Fiona,Retail Store,4,823.42,2023-03-21,3293.68,0,0.0,3293.68,458.1232213306783
1031,North,Headphones,Charlie,Online,1,823.42,2023-04-07,823.42,0,0.0,823.42,114.53080533266957
1032,North,Smartwatch,Fiona,Retail Store,1,823.42,2023-04-23,823.42,0,0.0,823.42,114.53080533266957
1033,West,Smartphone,Bob,Online,3,823.42,2023-03-02,2470.2599999999998,0,0.0,2470.2599999999998,343.5924159980087
1034,South,Laptop,Alice,Retail Store,9,823.42,2023-05-17,7410.78,10,741.078,6669.701999999999,927.6995231946235
1035,South,Monitor,Bob,Retail Store,7,823.42,2023-01-06,5763.94,10,576.3939999999999,5187.545999999999,721.5440735958182
1036,North,Headphones,Diana,Online,2,823.42,2023-04-19,1646.84,0,0.0,1646.84,229.06161066533915
1037,West,Headphones,Diana,Retail Store,9,823.42,2023-02-04,7410.78,0,0.0,7410.78,1030.777247994026
1038,North,Laptop,Fiona,Retail Store,2,823.42,2023-02-08,1646.84,0,0.0,1646.84,229.06161066533915
1039,North,Smartwatch,Ethan,Online,3,823.42,2023-05-30,2470.2599999999998,15,370.53899999999993,2099.721,292.0535535983074
1040,East,Laptop,Ethan,Retail Store,2,823.42,2023-06-18,1646.84,20,329.36799999999994,1317.472,183.24928853227132
